# Preset bank F: DUB tones
# 001-032 bass · 033-080 stab · 081-112 keys · 113-160 lead · 161-192 pad · 193-224 scape · 225-240 noise · 241-256 fx
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
001 | SUB SMOOTH   | bass-sub      | Bass, Soft             | DUB/BASS/juno_bass_sub-smooth-c1
002 | SUB ONLY     | bass-sub      | Bass, Dark             | DUB/BASS/juno_bass_sub-only-c1
003 | UPRIGHT      | bass-upright  | Bass, Acoustic         | DUB/BASS/mirg_bass_upright-c2
004 | SUB SYNARE   | bass-sub      | Bass, Vintage          | DUB/BASS/syn_bass_sub-long-c1
005 | RHODES BASS  | bass-upright  | Bass, Vintage          | DUB/BASS/drs_bass_rhodes-08-c1
006 | WARM BASS    | bass-upright  | Bass, Soft             | DUB/BASS/drs_bass_warm-09-c1
007 | 101 HOVER    | bass-sub      | Bass, Synth            | DUB/BASS/101_bass_hover-c1
008 | FISHERMAN    | bass-sub      | Bass, Vintage          | DUB/BASS/101_bass_fisherman-sfriend-c1
009 | RHODES 08    | bass-sub      | Bass, Vintage          | DUB/BASS/drs_bass_rhodes-08-c1
010 | SECONDSTORY  | bass-sub      | Bass, Vintage          | DUB/BASS/101_bass_secondstory-c1
011 | SUB 09       | bass-sub      | Bass, Vintage          | DUB/BASS/drs_bass_sub-09-c1
012 | 101 TVOD     | bass-sub      | Bass, Vintage          | DUB/BASS/101_bass_tvod-c1
013 | UPRIGHT 2    | bass-sub      | Bass, Vintage          | DUB/BASS/mirg_bass_upright-c2
014 | WARM 09      | bass-sub      | Bass, Vintage          | DUB/BASS/drs_bass_warm-09-c1
015 | JUNO SMASH   | bass-sub      | Bass, Vintage          | DUB/BASS/juno_bass_sub-smash-c1
016 | DUB SUB 09   | bass-dub      | Bass, Dark             | DUB/BASS/drs_bass_sub-09-c1
017 | DUB SUB ONLY | bass-dub      | Bass, Dark             | DUB/BASS/juno_bass_sub-only-c1
018 | DUB SMASH    | bass-dub      | Bass, Dark             | DUB/BASS/juno_bass_sub-smash-c1
019 | DUB SMOOTH   | bass-dub      | Bass, Dark             | DUB/BASS/juno_bass_sub-smooth-c1
020 | DUB SUB      | bass-dub      | Bass, Dark             | DUB/BASS/syn_bass_sub-long-c1
033 | STAB DUB M9  | stab-dub      | Chord, Dark            | DUB/STAB/juno_stab_pillow-verb-dm9
034 | STAB CMIN11  | stab-dub      | Chord, Vintage         | DUB/STAB/vsyn_stab_dx200-echo-cmin11-c3
035 | CM9 BELL     | stab-dub      | Chord, Bright          | DUB/STAB/vsyn_stab_dx200-bell-hi-cmin9-c3
036 | STAB EM9B5   | stab-dub      | Chord, Soft            | DUB/STAB/juno_stab_vibe-em9b5
